State,District,Confirmed,Recovered,Deaths,Active
Maharashtra,Ahmadnagar,29,26,1,2
Maharashtra,Akola,15,14,0,1
Maharashtra,Amravati,6,5,0,1
Maharashtra,Aurangabad,28,24,1,3
Maharashtra,Bhandara,0,0,0,0
Maharashtra,Bid,1,1,0,0
Maharashtra,Buldana,21,20,0,1
Maharashtra,Chandrapur,2,2,0,0
Maharashtra,Dhule,1,0,0,1
Maharashtra,Gadchiroli,0,0,0,0
Maharashtra,Gondiya,1,1,0,0
Maharashtra,Hingoli,1,1,0,0
Maharashtra,Jalgaon,2,2,0,0
Maharashtra,Jalna,2,2,0,0
Maharashtra,Kolhapur,5,5,0,0
Maharashtra,Latur,8,8,0,0
Maharashtra,Mumbai,2268,2130,14,124
Maharashtra,Mumbai Suburban,0,-1,0,1
Maharashtra,Nagpur,60,55,4,1
Maharashtra,Nanded,0,0,0,0
Maharashtra,Nandurbar,1,1,0,0
Maharashtra,Nashik,53,48,0,5
Maharashtra,Osmanabad,3,3,0,0
Maharashtra,Palghar,83,80,0,3
Maharashtra,Parbhani,1,1,0,0
Maharashtra,Pune,591,535,16,40
Maharashtra,Raigarh,42,42,0,0
Maharashtra,Ratnagiri,6,6,0,0
Maharashtra,Sangli,26,26,0,0
Maharashtra,Satara,11,10,0,1
Maharashtra,Sindhudurg,1,1,0,0
Maharashtra,Solapur,14,12,0,2
Maharashtra,Thane,341,331,1,9
Maharashtra,Wardha,0,0,0,0
Maharashtra,Washim,1,1,0,0
Maharashtra,Yavatmal,13,10,3,0
